Country,City,AQI_Value,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions,AQI_Category
Germany,Mettlach,53,1,,29,Good,3,Good,53,L1,145.7415236,2.464121532,L1,Moderate
India,Chikmagalur,25,0,Good,20,Good,0,Good,25,L0,64.44380889,-4.889700883,L0,Good
China,Maanshan,183,9,Good,,Good,42,Good,183,L3,464.5947008,7.52352625,L3,Unhealthy
Thailand,Pa Sang,22,0,Good,22,Good,0,Good,17,L0,57.19428293,2.18503566,L0,Good
France,Taverny,59,1,Good,21,Good,5,Good,59,L1,149.2732354,5.54541801,L1,Moderate
United Kingdom of Great Britain and Northern Ireland,Stirling,39,1,Good,,Good,7,Good,39,L0,103.5242866,12.51307088,L0,Good
Belgium,Wichelen,60,1,Good,33,Good,5,Good,60,L1,158.5481812,-7.153238472,L1,Moderate
United States of America,New Britain,60,2,Good,19,Good,15,Good,60,L1,142.9164805,7.686569312,L1,Moderate
Italy,Prato,37,1,Good,37,Good,3,Good,18,L0,101.8950123,9.483029433,L0,Good
Colombia,Tame,20,1,Good,10,Good,0,Good,20,L0,62.46996038,4.288873715,L0,Good
Brazil,Boa Viagem,34,1,Good,12,Good,1,Good,34,L0,95.82097703,10.54435235,L0,Good
India,Savda,151,2,Good,30,Good,5,Good,151,L3,402.6338725,5.267132753,L3,Unhealthy
Iran (Islamic Republic of),Khalkhal,72,1,Good,41,Good,0,Good,72,L1,178.0431926,3.362156449,L1,Moderate
Nigeria,Awka,154,8,Good,30,Good,5,Good,154,L3,385.7480705,16.3855691,L3,Unhealthy
Netherlands,Best,30,1,Good,30,Good,2,Good,28,L0,68.47555532,2.212098446,L0,Good
United States of America,Oklahoma City,53,1,Good,26,Good,4,Good,53,L1,137.6261283,0.375393628,L1,Moderate
Russian Federation,Mikhaylovskoye,36,1,Good,36,Good,0,Good,34,L0,100.0428785,1.629057721,L0,Good
India,Madhipura,144,4,Good,36,Good,8,Good,144,L2,356.9173617,9.940153774,L2,Unhealthy for Sensitive Groups
Italy,Belpasso,55,1,Good,45,Good,0,Good,55,L1,148.1677173,5.569250008,L1,Moderate
France,Vertou,32,1,Good,26,Good,2,Good,32,L0,90.17210216,6.660381621,L0,Good
India,Sarkhej,159,1,Good,40,Good,1003.063334,Good,159,L3,399.4773061,9.677178783,L3,Unhealthy
Croatia,Velika Gorica,76,1,Good,67,Moderate,0,Good,76,L1,188.8182496,-1.366501209,L1,Moderate
Switzerland,Carouge,60,1,Good,42,Good,0,Good,60,L1,174.1160607,-5.134788322,L1,Moderate
Uzbekistan,Muborak,70,1,,45,Good,0,Good,70,L1,192.2846649,9.310885411,L1,Moderate
India,Bhagalpur,80,2,Good,79,Moderate,1,Good,80,L1,217.8625209,9.441269186,L1,Moderate
Ukraine,Obukhiv,73,1,,38,Good,2,Good,73,L1,189.3471047,4.363396731,L1,Moderate
United States of America,Vidor,31,0,Good,,Good,1,Good,31,L0,72.73599951,-9.749398987,L0,Good
India,Tadepalle,135,1,Good,40,Good,0,Good,135,L2,345.4497146,6.891884603,L2,Unhealthy for Sensitive Groups
Sweden,Enkoping,30,1,Good,30,Good,0,Good,13,L0,75.96296566,3.395581391,L0,Good
,Si Racha,38,0,Good,20,Good,0,Good,38,L0,119.3335975,0.755533402,L0,Good
China,Langfang,137,4,Good,125,Unhealthy for Sensitive Groups,7,Good,137,L2,334.0042379,9.4974247,L2,Unhealthy for Sensitive Groups
India,Maur,500,1,Good,62,Moderate,1,Good,433,L5,1257.174059,-0.863298196,L5,Hazardous
Ukraine,Khust,59,1,Good,47,Good,0,Good,59,L1,146.2866828,3.177717386,L1,Moderate
Poland,Wloszczowa,38,1,Good,30,Good,1,Good,38,L0,111.5223339,4.045499053,L0,Good
United States of America,Lancaster,41,1,,41,Good,3,Good,32,L0,100.4422652,4.245957552,L0,Good
India,Cumbum,106,0,,37,Good,0,Good,106,L2,264.6815638,5.172586501,L2,Unhealthy for Sensitive Groups
Germany,Herdecke,60,1,Good,30,Good,6,Good,60,L1,158.4965005,0.539929381,L1,Moderate
Switzerland,Herisau,57,1,Good,24,Good,3,Good,57,L1,163.3211675,2.997730684,L1,Moderate
Philippines,Lianga,50,1,Good,20,Good,0,Good,50,L0,127.8089947,-2.117459412,L0,Good
Germany,Bad Oeynhausen,34,0,Good,,Good,1,Good,34,L0,83.10723377,1.495674451,L0,Good
Italy,Tortona,32,1,Good,32,Good,2,Good,26,L0,67.15056031,-3.160469013,L0,Good
India,Beypur,74,0,Good,24,Good,0,Good,74,L1,181.9940966,4.707970531,L1,Moderate
Belgium,Sint Gillis Waas,35,1,Good,32,Good,1003.063334,Good,35,L0,95.04819218,4.730343898,L0,Good
India,Badlapur,170,6,Good,19,Good,12,Good,170,L3,441.8689308,19.00117852,L3,Unhealthy
Spain,Alora,33,1,Good,32,Good,3,Good,33,L0,73.43184991,0.454730326,L0,Good
Croatia,Karlovac,31,1,Good,31,Good,1,Good,28,L0,103.362641,12.10469409,L0,Good
United States of America,Hurricane,32,1,Good,32,Good,1,Good,28,L0,79.24414546,8.851774122,L0,Good
Iran (Islamic Republic of),Ramsar,59,1,Good,39,Good,1003.063334,Good,59,L1,154.9830548,2.89433955,L1,Moderate
India,Qadian,162,4,Good,41,Good,9,Good,162,L3,433.4072261,4.990601511,L3,Unhealthy
Russian Federation,Povorino,61,1,Good,38,Good,0,Good,61,L1,130.9817194,2.733335419,L1,Moderate
Romania,Onesti,37,1,Good,,Good,0,Good,16,L0,106.6831661,-0.464440629,L0,Good
Germany,Wehr,94,1,Good,25,Good,3,Good,94,L1,234.7786981,5.883424179,L1,Moderate
Panama,Las Cumbres,97,3,,16,Good,12,Good,97,L1,246.8276969,9.240915985,L1,Moderate
Spain,Tias,25,0,,25,Good,0,Good,9,L0,56.19479544,6.184658648,L0,Good
Jordan,Judayta,91,1,Good,47,Good,3,Good,91,L1,232.4892887,2.413302717,L1,Moderate
Lithuania,Vilnius,35,1,Good,35,Good,0,Good,24,L0,87.80235536,-1.072655507,L0,Good
Indonesia,Karanganom,57,1,Good,32,Good,0,Good,57,L1,152.5014303,7.074066022,L1,Moderate
United States of America,Glassboro,52,2,Good,22,Good,13,Good,52,L1,142.1329818,6.96592607,L1,Moderate
Democratic Republic of the Congo,Bondo,74,2,Good,,Good,0,Good,74,L1,200.0662463,7.179577376,L1,Moderate
Philippines,Santiago,62,1,Good,13,Good,6,Good,62,L1,163.2889154,8.649406035,L1,Moderate
Venezuela (Bolivarian Republic of),Los Rastrojos,52,1,Good,13,Good,1003.063334,Good,52,L1,140.6612095,7.987087545,L1,Moderate
Poland,Dobre Miasto,37,0,Good,33,Good,0,Good,37,L0,97.90924749,5.616587894,L0,Good
United Kingdom of Great Britain and Northern Ireland,Ballymena,26,1,Good,26,Good,4,Good,26,L0,58.75799903,-1.326647754,L0,Good
India,Talwandi Bhai,198,2,Good,160,Unhealthy,1,Good,198,L3,502.906047,-2.534956888,L3,Unhealthy
Italy,Alfonsine,42,1,,38,Good,3,Good,42,L0,94.26370978,1.463571994,L0,Good
Japan,Niimi,35,1,,35,Good,2,Good,26,L0,97.66946516,-0.396759791,L0,Good
United States of America,East Point,66,2,Good,28,Good,11,Good,66,L1,190.5749547,7.101434458,L1,Moderate
United States of America,Central Islip,60,2,Good,14,Good,23,Good,60,L1,163.6805465,5.22974259,L1,Moderate
Germany,Buchloe,69,1,Good,35,Good,2,Good,69,L1,184.1739444,9.124808078,L1,Moderate
United States of America,Rowlett,54,1,Good,29,Good,5,Good,54,L1,150.6537627,-1.765616257,L1,Moderate
United Republic of Tanzania,Mabama,21,0,Good,21,Good,0,Good,16,L0,48.07738806,-5.234634088,L0,Good
Brazil,Campos Gerais,51,1,Good,5,Good,4,Good,51,L1,129.2875723,9.314553509,L1,Moderate
Netherlands,Gouda,38,1,Good,38,Good,1003.063334,Good,30,L0,100.0767319,-2.265471318,L0,Good
Mexico,Yaqui,70,1,Good,26,Good,0,Good,70,L1,182.1453292,7.671671078,L1,Moderate
Italy,Carugate,89,1,,64,Moderate,0,Good,89,L1,209.1442952,9.279453906,L1,Moderate
Japan,Ina,50,1,,39,Good,0,Good,50,L0,128.6637227,5.993043722,L0,Good
United Republic of Tanzania,Bagamoyo,41,1,,17,Good,0,Good,41,L0,105.6407552,-0.891297518,L0,Good
United States of America,Belmont,54,1,Good,24,Good,9,Good,54,L1,145.0254625,8.84055481,L1,Moderate
India,Amravati,157,1,Good,32,Good,0,Good,157,L3,400.6606787,0.473077805,L3,Unhealthy
Japan,Omigawa,42,1,Good,42,Good,1,Good,35,L0,106.4155381,3.705027424,L0,Good
Pakistan,Pasrur,164,3,Good,147,Unhealthy for Sensitive Groups,1,Good,164,L3,421.4958133,19.19726311,L3,Unhealthy
United States of America,Lake Mary,59,1,Good,,Good,14,Good,59,L1,151.9564873,3.970523755,L1,Moderate
United Kingdom of Great Britain and Northern Ireland,Bury,40,1,Good,35,Good,1,Good,40,L0,95.37348988,-1.576647024,L0,Good
Italy,Casalmaggiore,79,2,Good,44,Good,4,Good,79,L1,196.4687991,-1.088784942,L1,Moderate
Republic of North Macedonia,Kicevo,63,1,Good,41,Good,0,Good,63,L1,159.1475592,2.394373855,L1,Moderate
China,Nianzishan,79,4,,41,Good,1,Good,79,L1,212.8865429,16.20515314,L1,Moderate
,Rianxo,25,1,Good,22,Good,3,Good,25,L0,55.68798827,4.623132067,L0,Good
Italy,Manduria,49,1,Good,49,Good,3,Good,22,L0,131.4263412,3.785148438,L0,Good
United States of America,Tahlequah,75,1,Good,26,Good,3,Good,75,L1,199.8760676,0.54412635,L1,Moderate
Philippines,Pinamungahan,58,1,Good,23,Good,0,Good,58,L1,160.325462,-1.470995139,L1,Moderate
France,La Chapelle Sur Erdre,24,1,Good,22,Good,4,Good,24,L0,54.85240507,4.652516391,L0,Good
Papua New Guinea,Arawa,50,0,Good,12,Good,0,Good,50,L0,140.5817009,1.655725036,L0,Good
Portugal,Ourem,30,1,Good,30,Good,2,Good,21,L0,67.95185659,4.929492159,L0,Good
Italy,Cervia,75,1,Good,69,Moderate,0,Good,75,L1,196.171998,-1.921036144,L1,Moderate
Kenya,Kabarnet,56,2,,26,Good,0,Good,56,L1,139.0764404,10.64443068,L1,Moderate
Poland,Kielce,79,1,Good,36,Good,1,Good,79,L1,205.1652165,9.165836456,L1,Moderate
France,Saran,29,1,Good,29,Good,2,Good,26,L0,65.56363168,-2.2996545,L0,Good
Philippines,Tayug,89,1,Good,29,Good,1,Good,89,L1,233.4253031,1.875588136,L1,Moderate
United States of America,Irvington,107,3,Good,12,Good,28,Good,107,L2,266.8605251,3.357439036,L2,Unhealthy for Sensitive Groups
India,Mallur,57,1,Good,29,Good,1,Good,57,L1,153.8319518,5.362332054,L1,Moderate
United States of America,Marlborough,46,1,Good,41,Good,1,Good,46,L0,125.3545875,5.393315461,L0,Good
New Zealand,Invercargill,14,0,Good,12,Good,1,Good,14,L0,54.35570993,0.203506377,L0,Good
United States of America,Huntington,63,1,Good,23,Good,16,Good,63,L1,147.0924219,3.268391744,L1,Moderate
Poland,Lezajsk,100,1,Good,32,Good,2,Good,100,L2,269.6644239,-0.056920157,L2,Unhealthy for Sensitive Groups
Egypt,Rosetta,60,2,Good,60,Moderate,3,Good,55,L1,166.7929718,15.15217816,L1,Moderate
France,Roanne,39,1,Good,24,Good,2,Good,39,L0,101.1874303,3.417320304,L0,Good
Pakistan,Bhit Shah,157,1,Good,24,Good,2,Good,157,L3,408.8987856,8.602806767,L3,Unhealthy
Italy,San Cataldo,57,1,Good,46,Good,0,Good,57,L1,135.3271731,12.84331514,L1,Moderate
,Marapanim,25,1,Good,15,Good,1003.063334,Good,25,L0,75.39222499,7.856641763,L0,Good
Brazil,Astolfo Dutra,65,2,Good,3,Good,5,Good,65,L1,177.7945748,-7.57159124,L1,Moderate
India,Sattur,62,1,Good,27,Good,1,Good,62,L1,134.6971248,1.629630891,L1,Moderate
Mexico,Leon,50,1,,14,Good,3,Good,50,L0,123.8721131,2.999487932,L0,Good
United States of America,Wrentham,46,1,Good,,Good,10,Good,46,L0,127.591392,7.392584616,L0,Good
India,Sambalpur,157,2,Good,72,Moderate,1,Good,157,L3,412.5913101,4.115888054,L3,Unhealthy
India,Panna,203,1,Good,45,Good,0,Good,203,L4,509.5311402,4.197885103,L4,Very Unhealthy
Spain,Mairena Del Alcor,43,1,Good,43,Good,0,Good,14,L0,114.4405194,2.688566632,L0,Good
Italy,Castel San Giovanni,59,1,Good,34,Good,2,Good,59,L1,150.0681905,4.804724389,L1,Moderate
Spain,Bolanos De Calatrava,43,1,Good,15,Good,4,Good,43,L0,118.6494464,9.139645509,L0,Good
United Republic of Tanzania,Ikwiriri,29,0,Good,19,Good,1003.063334,Good,29,L0,75.02664036,12.46195145,L0,Good
Uganda,Bugembe,156,7,Good,14,Good,4,Good,156,L3,385.7781109,9.48850743,L3,Unhealthy
Latvia,Dobele,44,1,Good,34,Good,0,Good,44,L0,106.6078248,12.30662553,L0,Good
Indonesia,Porong,166,3,Good,11,Good,9,Good,166,L3,402.5211541,11.37220554,L3,Unhealthy
United States of America,Apache Junction,48,1,Good,21,Good,12,Good,48,L0,121.4390795,3.941741037,L0,Good
United States of America,Cherry Hill,52,1,Good,29,Good,9,Good,52,L1,134.9788832,0.044851983,L1,Moderate
Brazil,Bela Vista De Goias,24,0,,24,Good,0,Good,10,L0,69.86287305,1.36630886,L0,Good
Russian Federation,Krasnoye Selo,26,1,Good,26,Good,4,Good,19,L0,58.41344903,7.305856768,L0,Good
Japan,Hobara,44,1,Good,44,Good,1003.063334,Good,22,L0,125.9419152,-1.051741747,L0,Good
India,Etah,500,1,Good,50,Good,3,Good,437,L5,1280.988229,6.720450902,L5,Hazardous
Japan,Onomichi,51,1,Good,46,Good,3,Good,51,L1,134.7703448,0.112195129,L1,Moderate
France,Laon,59,1,Good,28,Good,1003.063334,Good,59,L1,148.4132765,5.866476963,L1,Moderate
Iran (Islamic Republic of),Bukan,61,1,Good,47,Good,0,Good,61,L1,167.3783442,5.41350818,L1,Moderate
,West Bay,133,1,Good,30,Good,0,Good,133,L2,333.7941724,-1.555780387,L2,Unhealthy for Sensitive Groups
Germany,Vechelde,39,0,Good,33,Good,1,Good,39,L0,117.5614724,2.613979256,L0,Good
Russian Federation,Vorotynsk,39,1,Good,,Good,0,Good,20,L0,94.53775877,1.779046932,L0,Good
Brazil,Bom Jesus,24,0,Good,11,Good,0,Good,24,L0,58.48324878,-0.739040268,L0,Good
Russian Federation,Novosilikatnyy,48,1,Good,45,Good,1,Good,48,L0,124.5117016,12.13305407,L0,Good
India,Kariapatti,90,2,Good,19,Good,5,Good,90,L1,215.9992877,10.40979331,L1,Moderate
China,Yuanlin,149,3,Good,128,Unhealthy for Sensitive Groups,15,Good,149,L2,373.5471645,12.00107703,L2,Unhealthy for Sensitive Groups
Australia,Newcastle,48,0,,9,Good,14,Good,48,L0,123.159676,4.646867849,L0,Good
Russian Federation,Leningradskaya,37,1,Good,37,Good,1,Good,9,L0,77.3370569,-3.359073486,L0,Good
,Monster,55,1,Good,37,Good,1003.063334,Good,55,L1,145.3580329,10.2032778,L1,Moderate
Peru,Cajamarca,44,1,Good,3,Good,2,Good,44,L0,110.1487006,9.30744576,L0,Good
Switzerland,Solothurn,36,1,Good,23,Good,2,Good,36,L0,93.34159094,-4.113680276,L0,Good
Panama,Pacora,134,4,Good,11,Good,13,Good,134,L2,325.7109539,15.92744478,L2,Unhealthy for Sensitive Groups
India,Hindupur,24,1,Good,24,Good,0,Good,21,L0,76.34538331,-3.709498144,L0,Good
Burkina Faso,Tenkodogo,54,1,Good,27,Good,0,Good,54,L1,144.4123982,8.935423486,L1,Moderate
Togo,Tsevie,90,2,Good,15,Good,2,Good,90,L1,230.0827449,6.488900669,L1,Moderate
Czechia,Ceska Trebova,74,1,Good,44,Good,1,Good,74,L1,196.6226298,-0.828335716,L1,Moderate
Turkey,Burhaniye,61,1,Good,39,Good,0,Good,61,L1,173.9061456,-5.328175435,L1,Moderate
Brazil,Juiz De Fora,78,2,Good,4,Good,8,Good,78,L1,202.0934886,5.187057684,L1,Moderate
Indonesia,Ngoro,121,2,Good,60,Moderate,1,Good,121,L2,319.4663149,6.287709147,L2,Unhealthy for Sensitive Groups
Bangladesh,Phultala,158,4,Good,64,Moderate,4,Good,158,L3,395.550298,5.403349644,L3,Unhealthy
France,Bolbec,43,1,,32,Good,2,Good,43,L0,109.0409272,4.527987534,L0,Good
India,Lonar,154,1,Good,26,Good,3,Good,154,L3,372.907736,18.41776831,L3,Unhealthy
Colombia,Repelon,88,2,,16,Good,1003.063334,Good,88,L1,225.8850347,3.93273412,L1,Moderate
United States of America,Middleton,56,1,Good,34,Good,1,Good,56,L1,151.2873055,10.12671314,L1,Moderate
,Biloxi,27,0,,27,Good,2,Good,22,L0,62.18893947,4.044636704,L0,Good
United Kingdom of Great Britain and Northern Ireland,Heswall,33,1,Good,33,Good,4,Good,24,L0,88.45344199,12.2822599,L0,Good
United Kingdom of Great Britain and Northern Ireland,Aylesbury,34,1,Good,30,Good,1,Good,34,L0,86.998444,7.010546036,L0,Good
Russian Federation,Kukmor,54,1,,37,Good,0,Good,54,L1,135.0306797,9.294849979,L1,Moderate
Brazil,Iguai,15,0,,13,Good,0,Good,15,L0,37.8614557,2.64963696,L0,Good
Belgium,Oud Heverlee,45,1,Good,26,Good,4,Good,45,L0,103.5077174,5.558094183,L0,Good
United States of America,Arkadelphia,73,1,Good,26,Good,3,Good,73,L1,167.4613764,3.97800984,L1,Moderate
Brazil,Mongagua,82,2,Good,,Good,5,Good,82,L1,203.8674619,5.612659682,L1,Moderate
Italy,Bitonto,54,1,Good,53,Moderate,0,Good,54,L1,152.9699455,11.47663867,L1,Moderate
United States of America,Southglenn,76,2,Good,5,Good,14,Good,76,L1,192.6537943,9.078433555,L1,Moderate
Germany,Morfelden Walldorf,68,1,Good,38,Good,4,Good,68,L1,183.2932377,1.91869296,L1,Moderate
France,Auchel,31,0,Good,29,Good,1,Good,31,L0,98.98412608,5.978313522,L0,Good
United States of America,Mount Prospect,62,2,Good,24,Good,18,Good,62,L1,158.742537,6.735742188,L1,Moderate
Tunisia,Bajah,47,1,Good,47,Good,2,Good,34,L0,136.8506541,5.824066768,L0,Good
India,Harsud,193,1,Good,39,Good,1,Good,193,L3,478.894346,-5.56700374,L3,Unhealthy
Indonesia,Ngemplak,63,1,Good,35,Good,0,Good,63,L1,166.033938,1.540665524,L1,Moderate
Germany,Hersbruck,43,1,,35,Good,2,Good,43,L0,115.810389,5.03612735,L0,Good
France,Vauvert,42,1,Good,32,Good,1,Good,42,L0,86.4721353,10.20698659,L0,Good
Malaysia,Sungai Petani,150,3,Good,23,Good,10,Good,150,L3,371.6802889,3.27179684,L3,Unhealthy
Germany,Hameln,37,1,Good,37,Good,1,Good,24,L0,94.01347866,4.632191987,L0,Good
United States of America,Bellaire,91,1,Good,18,Good,5,Good,91,L1,231.511548,4.211852253,L1,Moderate
United Kingdom of Great Britain and Northern Ireland,Doncaster,30,0,Good,30,Good,4,Good,26,L0,76.01407961,3.451726576,L0,Good
Poland,Limanowa,99,1,Good,32,Good,2,Good,99,L1,254.9832514,-2.512858621,L1,Moderate
Cameroon,Obala,86,2,Good,24,Good,0,Good,86,L1,212.5437953,4.651397987,L1,Moderate
Turkey,Kozluk,62,1,Good,43,Good,1,Good,62,L1,166.5863195,10.35785693,L1,Moderate
Romania,Bailesti,40,1,Good,,Good,1,Good,40,L0,80.12543241,0.313827416,L0,Good
France,Bourg La Reine,85,3,Good,16,Good,10,Good,85,L1,207.6500687,0.613580901,L1,Moderate
United Kingdom of Great Britain and Northern Ireland,Loughborough,36,1,Good,,Good,3,Good,16,L0,91.79253629,5.681169656,L0,Good
Indonesia,Sumedang,67,1,Good,,Good,0,Good,67,L1,168.7010879,-2.814782795,L1,Moderate
Nepal,Butwal,146,4,Good,20,Good,5,Good,146,L2,362.6086344,7.851448445,L2,Unhealthy for Sensitive Groups
United States of America,Windsor,99,3,Good,20,Good,19,Good,99,L1,248.027549,12.27280041,L1,Moderate
Argentina,Yacuiba,12,0,Good,11,Good,0,Good,12,L0,49.98097633,-2.109122293,L0,Good
Portugal,Portalegre,24,1,Good,24,Good,2,Good,18,L0,69.06094019,2.716753393,L0,Good
Serbia,Pancevo,59,1,Good,56,Moderate,0,Good,59,L1,152.4121048,4.987722114,L1,Moderate
United States of America,Cranston,71,1,Good,44,Good,5,Good,71,L1,195.8321056,5.190234861,L1,Moderate
Netherlands,Vianen,34,0,Good,34,Good,1,Good,34,L0,105.0127688,-0.491505373,L0,Good
Spain,Tafalla,38,1,Good,38,Good,1003.063334,Good,9,L0,98.01397845,5.499250272,L0,Good
France,Villeparisis,69,2,Good,29,Good,5,Good,69,L1,182.714494,1.245282247,L1,Moderate
United States of America,Lake Wales,48,1,Good,17,Good,1003.063334,Good,48,L0,108.1312305,4.750812468,L0,Good
India,Robertsganj,169,3,Good,66,Moderate,4,Good,169,L3,426.0847425,5.696156753,L3,Unhealthy
India,Mulbagal,83,2,Good,21,Good,5,Good,83,L1,229.6077578,-1.830515248,L1,Moderate
Indonesia,Parung,171,4,Good,171,Unhealthy,2,Good,150,L3,419.172226,5.573264354,L3,Unhealthy
Togo,Niamtougou,56,1,Good,29,Good,0,Good,56,L1,147.9700129,5.755872973,L1,Moderate
Japan,Sendai,51,1,Good,51,Moderate,0,Good,38,L0,132.6877772,-3.255359633,L0,Moderate
France,Chaville,72,1,Good,43,Good,2,Good,72,L1,205.3604283,5.968950794,L1,Moderate
Germany,Coswig,67,1,Good,40,Good,1,Good,67,L1,197.42184,7.309110151,L1,Moderate
Guatemala,Petapa,61,1,Good,25,Good,1,Good,61,L1,147.311948,11.36187569,L1,Moderate
United States of America,Somerville,49,1,Good,,Good,2,Good,49,L0,125.9967163,1.819863686,L0,Good
France,Saint Pierre,51,1,Good,28,Good,0,Good,51,L1,156.047114,5.386823302,L1,Moderate
United Kingdom of Great Britain and Northern Ireland,Brighouse,41,1,Good,37,Good,1,Good,41,L0,113.366938,3.008925946,L0,Good
India,Doraha,467,1,Good,102,Unhealthy for Sensitive Groups,1,Good,400,L5,1181.273623,9.881469425,L5,Hazardous
Japan,Iizuka,45,1,Good,45,Good,0,Good,38,L0,126.0639879,3.935774546,L0,Good
United States of America,Keokuk,50,2,Good,33,Good,4,Good,50,L0,151.9664605,-1.197934929,L0,Good
Poland,Lancut,98,1,,35,Good,2,Good,98,L1,250.14382,4.867459158,L1,Moderate
United States of America,Destin,31,0,Good,31,Good,0,Good,25,L0,85.74083969,2.582071139,L0,Good
Egypt,Esna,166,1,Good,37,Good,1,Good,166,L3,405.6881167,1.175944579,L3,Unhealthy
Syrian Arab Republic,Manbij,71,1,Good,42,Good,0,Good,71,L1,162.1564413,8.273475307,L1,Moderate
,Napier,27,0,Good,27,Good,0,Good,15,L0,87.70851232,4.548698642,L0,Good
India,Multai,162,2,Good,14,Good,9,Good,162,L3,397.7904943,13.65386746,L3,Unhealthy
Russian Federation,Novokuznetsk,46,1,Good,21,Good,13,Good,46,L0,131.2296937,-0.315545244,L0,Good
Italy,Tivoli,55,1,Good,55,Moderate,0,Good,51,L1,143.3701648,-0.369493425,L1,Moderate
France,Guebwiller,32,1,Good,31,Good,1,Good,32,L0,68.43033544,5.918210622,L0,Good
Mexico,Santa Catarina,86,2,,5,Good,10,Good,86,L1,215.2149462,8.617580551,L1,Moderate
Brazil,Palmeiras De Goias,33,1,Good,27,Good,0,Good,33,L0,94.43517664,0.728882204,L0,Good
,Liepaja,34,1,Good,34,Good,0,Good,27,L0,104.6420127,-5.646811024,L0,Good
Switzerland,Winterthur,43,1,Good,25,Good,2,Good,43,L0,128.818569,6.494334121,L0,Good
