,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions
152,Germany,Wenden,69,Moderate,1,Good,34,Good,4,Good,69,L1,170.6997528,0.936958622,L1
153,United States of America,West Carrollton City,84,Moderate,3,Good,9,Good,24,Good,84,L1,217.322537,11.68345935,L1
154,Belgium,Wetteren,64,Moderate,1,Good,32,Good,6,Good,64,L1,167.9307247,12.78022104,L1
155,Canada,Whitehorse,20,Good,1,Good,20,Good,1,Good,10,L0,47.85648582,-2.850947578,L0
156,Ireland,Wicklow,38,Good,1,Good,30,Good,3,Good,38,L0,118.6577451,10.11756521,L0
157,Switzerland,Wil,59,Moderate,1,Good,27,Good,3,Good,59,L1,157.2383292,1.41148142,L1
158,Germany,Wildeshausen,67,Moderate,1,Good,30,Good,5,Good,67,L1,160.586965,5.539412656,L1
159,United States of America,Williamsport,75,Moderate,2,Good,13,Good,16,Good,75,L1,199.0655361,-2.670730153,L1
160,United States of America,Fox Lake,60,Moderate,2,Good,18,Good,21,Good,60,L1,145.2531833,8.220175087,L1
161,Brazil,Foz Do Iguacu,22,Good,1,Good,13,Good,0,Good,22,L0,67.87084604,-6.226561984,L0
162,Denmark,Frederikssund,36,Good,1,Good,36,Good,0,Good,25,L0,106.5859558,5.369675362,L0
163,United States of America,Friendly,41,Good,1,Good,30,Good,8,Good,41,L0,99.29317682,5.086280235,L0
164,Germany,Fuldatal,44,Good,1,Good,28,Good,2,Good,44,L0,124.6337613,4.755038171,L0
165,Japan,Furano,29,Good,1,Good,26,Good,1,Good,29,L0,81.62780927,0.125449247,L0
166,China,Fuzhou,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,L1,433.2206016,10.14763337,L1
167,United Kingdom of Great Britain and Northern Ireland,Galashiels,25,Good,1,Good,,Good,3,Good,23,L0,86.46792983,5.755407547,L0
168,Germany,Gangelt,41,Good,1,Good,26,Good,4,Good,41,L0,105.0461188,2.750236082,L0
169,Germany,Garbsen,36,Good,0,Good,33,Good,1,Good,36,L0,87.46263836,5.359251536,L0
170,Cameroon,Garoua,59,Moderate,2,Good,12,Good,0,Good,59,L1,143.6048557,5.121979267,L1
171,Somalia,Garowe,98,Moderate,0,Good,17,Good,0,Good,98,L1,241.8418972,4.643885795,L1
172,Netherlands,Geertruidenberg,35,Good,0,Good,33,Good,2,Good,35,L0,91.72898291,1.370603363,L0
173,Australia,Geraldton,29,Good,0,Good,29,Good,0,Good,13,L0,80.91151975,3.083509956,L0
174,Germany,Germersheim,51,Moderate,1,Good,29,Good,3,Good,51,L1,135.266908,6.673614705,L1
175,Colombia,Girardot,103,Unhealthy for Sensitive Groups,4,Good,,Good,1003.063334,Good,103,L2,270.7718325,7.210437132,L2
176,Russian Federation,Glubokiy,35,Good,1,Good,35,Good,0,Good,17,L0,92.63001892,-2.369182931,L0
177,United Kingdom of Great Britain and Northern Ireland,Golborne,35,Good,1,Good,30,Good,4,Good,35,L0,107.0353408,5.180395028,L0
178,Portugal,Gondomar,27,Good,0,Good,27,Good,2,Good,21,L0,69.85343167,7.946956893,L0
179,Russian Federation,Goryachevodskiy,48,Good,1,Good,39,Good,1,Good,48,L0,152.2016917,5.295754865,L0
180,India,Govindgarh,307,Hazardous,1,Good,45,Good,0,Good,307,L5,778.7566735,5.390711573,L5
181,Côte d'Ivoire,Grand Lahou,54,Moderate,1,Good,25,Good,0,Good,54,L1,131.4284244,3.589119468,L1
182,United States of America,Hoffman Estates,61,Moderate,2,Good,26,Good,16,Good,61,L1,146.791075,9.295593264,L1
183,Sweden,Hoganas,36,Good,1,Good,36,Good,1,Good,30,L0,99.82472415,2.870322919,L0
184,United States of America,Holly Springs,42,Good,1,Good,42,Good,2,Good,37,L0,107.7653721,1.530506094,L0
185,Germany,Holzminden,42,Good,0,Good,32,Good,1,Good,42,L0,117.1400049,7.526491264,L0
186,China,Huaicheng,151,Unhealthy,4,Good,45,Good,4,Good,151,L3,387.2323762,6.547308409,L3
187,Ethiopia,Huruta,102,Unhealthy for Sensitive Groups,1,Good,23,Good,0,Good,102,L2,259.2717109,8.247354732,L2
188,Nigeria,Idanre,115,Unhealthy for Sensitive Groups,3,Good,24,Good,2,Good,115,L2,284.0320628,12.92967731,L2
189,Italy,Iglesias,64,Moderate,1,Good,53,Moderate,1,Good,64,L1,149.8515278,6.63408466,L1
190,Germany,Ihlow,40,Good,1,Good,30,Good,2,Good,40,L0,100.5348505,-2.446177598,L0
191,Japan,Iizuka,45,Good,1,Good,45,Good,0,Good,38,L0,126.0639879,3.935774546,L0
192,Thailand,Sungai Kolok,65,Moderate,1,Good,34,Good,0,Good,65,L1,169.6409374,2.790000015,L1
193,Indonesia,Sungaipenuh,17,Good,1,,13,Good,0,Good,17,L0,35.04261221,1.320003723,L0
194,Russian Federation,Suvorovskaya,52,Moderate,1,Good,39,Good,1,Good,52,L1,136.7318093,4.513757937,L1
195,Japan,Suzu,69,Moderate,1,Good,69,Moderate,1003.063334,Good,60,L1,181.3531738,7.646031737,L1
196,Poland,Swiecie,44,Good,1,,33,Good,1,Good,44,L0,106.1614256,1.507236699,L0
197,Hungary,Szeged,50,Good,1,Good,41,Good,1,Good,50,L0,131.5372511,2.943086629,L0
198,Hungary,Szerencs,72,Moderate,1,,42,Good,1,Good,72,L1,185.5820872,2.594705331,L1
199,Tunisia,Taburbah,49,Good,1,Good,,Good,1,Good,32,L0,116.070297,9.619355228,L0
200,India,Tadepallegudem,127,Unhealthy for Sensitive Groups,2,Good,,Moderate,1,Good,127,L2,326.0778736,4.314496911,L2
201,Iran (Islamic Republic of),Tafresh,125,Unhealthy for Sensitive Groups,2,Good,125,Unhealthy for Sensitive Groups,1,Good,82,L1,323.1078453,-0.572028289,L1
202,Philippines,Tagaytay,41,Good,1,Good,25,Good,1,Good,41,L0,118.3305124,-4.067174195,L0
203,Japan,Tajimi,52,Moderate,1,,34,Good,3,Good,52,L1,145.5380205,5.613647833,L1
204,Japan,Takahagi,47,Good,1,Good,47,Good,1,Good,44,L0,108.7233063,-0.003408699,L0
205,Japan,Takahashi,36,Good,1,Good,36,Good,3,Good,34,L0,85.6217496,7.143622526,L0
206,India,Tal,155,Unhealthy,1,,39,Good,0,Good,155,L3,397.6503527,-2.856099943,L3
207,Philippines,Talacogon,37,Good,1,Good,19,Good,0,Good,37,L0,102.6378595,1.105439167,L0
208,Russian Federation,Taldom,46,Good,1,Good,,Good,1,Good,46,L0,125.1504769,-2.852844248,L0
209,Kazakhstan,Talgar,69,Moderate,1,,42,Good,0,Good,69,L1,216.0273149,5.973053578,L1
210,United States of America,Tamiami,64,Moderate,1,Good,,Good,12,Good,64,L1,170.7089051,7.044237703,L1
211,Israel,Tamra,92,Moderate,2,Good,52,Moderate,8,Good,92,L1,246.3556564,7.293125788,L1
212,Japan,Tanashi,58,Moderate,1,Good,43,Good,3,Good,58,L1,159.5400176,-1.629681602,L1
213,Romania,Tandarei,41,Good,1,Good,41,Good,0,Good,38,L0,114.0139125,0.071181279,L0
214,Philippines,Tantangan,35,Good,1,Good,20,Good,0,Good,35,L0,89.34730755,4.971569943,L0
215,Indonesia,Tarogong,88,Moderate,2,Good,53,Moderate,1,Good,88,L1,232.5896922,-2.838707041,L1
216,Turkey,Tatvan,45,Good,0,Good,45,Good,0,Good,43,L0,109.7717479,0.794325278,L0
217,India,Yaval,102,Unhealthy for Sensitive Groups,1,Good,,Good,0,Good,102,L2,257.6318139,11.38452677,L2
218,United Kingdom of Great Britain and Northern Ireland,Yeovil,58,Moderate,1,Good,24,Good,7,Good,58,L1,145.1463645,2.900222254,L1
219,China,Yuanping,143,Unhealthy for Sensitive Groups,2,Good,35,Good,5,Good,143,L2,363.3187414,-1.842723195,L2
220,China,Yuncheng,187,Unhealthy,2,Good,36,Good,8,Good,187,L3,495.6465857,2.562953762,L3
221,Poland,Zambrow,35,Good,1,Good,,Good,0,Good,17,L0,73.82734807,0.646538372,L0
222,Poland,Zamosc,48,Good,1,Good,35,Good,1,Good,48,L0,131.8626019,14.5015439,L0
223,Belgium,Zaventem,58,Moderate,1,Good,29,Good,6,Good,58,L1,133.8728413,12.1283954,L1
224,Belgium,Zemst,65,Moderate,1,Good,27,Good,8,Good,65,L1,162.7806813,7.454677171,L1
225,China,Zhaozhou,73,Moderate,2,Good,66,Moderate,0,Good,73,L1,198.389506,3.884620346,L1
226,China,Zhicheng,160,Unhealthy,4,Good,36,Good,13,Good,160,L3,405.6428002,15.2031483,L3
227,China,Zhongshan,98,Moderate,3,,33,Good,9,Good,98,L1,239.2225522,1.732701805,L1
228,China,Zhuji,156,Unhealthy,4,,45,Good,10,Good,156,L3,387.8469629,14.58287658,L3
229,Mexico,Zimatlan,75,Moderate,2,Good,9,Good,6,Good,75,L1,199.2959775,10.23986769,L1
230,Mexico,Zinacantepec,163,Unhealthy,4,,8,Good,18,Good,163,L3,405.1963337,8.443271327,L3
231,Russian Federation,Zmeinogorsk,35,Good,1,,35,Good,0,Good,21,L0,94.6645859,9.495931567,L0
232,Netherlands,Aalburg,30,Good,0,Good,30,Good,2,Good,29,L0,80.4557184,-0.236105647,L0
233,Spain,Abaran,47,Good,1,,21,Good,2,Good,47,L0,115.9839965,-2.52542799,L0
234,Italy,Abbiategrasso,69,Moderate,1,Good,37,Good,4,Good,69,L1,198.9394409,8.689825065,L1
235,Côte d'Ivoire,Abidjan,105,Unhealthy for Sensitive Groups,4,Good,15,Good,4,Good,105,L2,273.8391902,8.773785354,L2
236,Mexico,Acuautla,189,Unhealthy,2,Good,9,Good,15,Good,189,L3,457.2485741,8.608903016,L3
237,United States of America,Acworth,64,Moderate,2,Good,37,Good,8,Good,64,L1,166.8645431,14.70443296,L1
238,United States of America,Adelphi,54,Moderate,1,,32,Good,5,Good,54,L1,133.3821354,0.188729638,L1
239,India,Afzalgarh,198,Unhealthy,4,Good,198,Unhealthy,3,Good,188,L3,508.5243333,8.483102476,L3
240,Nigeria,Agbor,139,Unhealthy for Sensitive Groups,7,Good,13,Good,5,Good,139,L2,344.5747926,22.44817252,L2
241,France,Aix En Provence,55,Moderate,1,Good,26,Good,3,Good,55,L1,141.3526356,7.143658654,L1
242,Myanmar,Akyab,145,Unhealthy for Sensitive Groups,1,Good,46,Good,0,Good,145,L2,372.5498728,0.301086279,L2
243,United States of America,Alabaster,80,Moderate,1,Good,18,Good,1003.063334,Good,80,L1,213.6575519,-0.975088518,L1
